id,first_node_id,second_node_id,length_in_meters
265,1537,639,7.117485159
549,433,434,7.468503815
3354,1279,2775,7.776854095
3385,271,2760,4.320474497
3386,2761,271,6.54243281
3399,2785,346,7.838575159
3757,2808,531,6.604153874
3762,136,2825,6.851316148
3397,2798,424,8.085459416
3400,2791,346,6.295548553
3401,424,2785,8.57922793
3402,2789,424,5.925222168
3405,342,2783,8.455785802
3522,2854,1101,4.938070881
3523,1098,2858,4.875964075
3524,910,2854,4.876354699
3525,2858,912,4.938070881
3527,2860,194,3.703778161
3529,2859,1098,4.814243011
3633,2772,2912,13.57863413
3634,2914,2866,10.30760252
3635,2915,2914,13.08486562
3636,2915,1764,10.30741773
3646,2919,2923,8.826112187
3647,2922,2864,11.54183901
3648,719,2922,9.690207087
3719,2957,2961,8.085459416
3720,2882,2957,7.529969838
3721,2958,922,9.258365371
3722,2960,2958,9.813649215
3723,2959,2960,11.9121654
3724,418,2964,13.08501119
3725,2965,284,13.57863413
3727,2966,2874,10.24569666
3728,2963,2878,15.98587479
3729,2964,2965,15.98575564
3730,2967,2875,8.949554316
3731,2967,2877,8.209133575
3732,2969,2824,8.57922793
3368,1569,2763,5.616616846
3492,41,2836,12.15920631
3494,2835,525,6.048979191
3495,41,2841,7.097922388
3530,2853,1098,5.863501103
3532,912,2857,7.900537318
3533,912,2855,5.925543623
3534,2855,910,5.184936771
3537,2868,1225,4.752521947
3538,2868,17,5.801780039
3539,1225,2867,5.493174718
3580,2885,918,5.986943232
3601,147,2896,8.455785802
3602,2895,147,6.97448026
3603,148,2901,6.912759195
3606,2900,173,6.851316148
3607,2898,2899,13.14658668
3608,2899,918,5.986943232
3609,175,2902,4.875964075
3610,2902,148,5.493174718
3726,284,2966,11.17168313
3629,2773,2911,13.76379733
228,716,1102,11.78872327
552,1606,1609,18.26943502
553,427,1770,14.44272903
3406,1557,2786,4.197032369
3407,2787,1278,3.271216405
3408,1551,2787,3.703263855
3466,536,2822,7.653411966
3578,809,2876,4.999406204
3581,331,2887,6.2958511
3583,2884,283,5.308370356
3585,283,2886,6.418990682
3586,283,2885,5.616955963
3587,2883,841,6.172106425
3589,331,2888,5.493174718
3391,2781,531,5.740058975
3456,1539,2818,12.03576579
3457,2818,1538,5.493174718
3458,2813,2829,8.394064737
3459,1538,2817,5.246653513
3475,2836,43,11.91280498
3476,41,2839,12.15920631
3477,2839,42,12.89985008
3478,133,2834,4.814243011
3479,133,2840,5.493521454
3480,2840,132,5.246653513
3481,2833,133,6.789317067
3482,465,2833,5.616616846
3483,2834,2830,10.49330703
3484,2830,541,5.86480035
3485,2831,538,10.61620247
3486,541,2831,6.789317067
3487,2837,541,6.480711746
3488,2832,541,6.604442284
3489,2832,40,13.64049484
3490,2838,2837,12.96142349
3515,978,2848,6.542723941
3518,1218,2852,4.690800883
3519,1766,2852,13.45519201
3520,2856,910,4.320474497
3521,1101,2853,5.184569397
3970,2870,129,6.481005649
3971,130,1102,10.36913879
232,722,721,7.72130267
237,915,1769,10.73964254
239,1716,1316,1.913352992
247,136,137,7.283347106
248,137,134,9.072996444
250,1749,528,4.626198605
258,465,1556,5.616616846
260,132,1747,3.35798894
3590,2891,1770,15.61542925
3591,426,2891,6.11038536
3592,2892,426,6.11038536
3593,2892,433,6.110697075
3594,433,2893,6.789597611
3595,2893,642,8.456011058
272,1763,129,5.863825942
273,1225,1224,3.943391592
274,1224,1223,9.320085073
282,1766,1097,10.92462837
283,1751,1218,4.197032369
288,134,1555,4.746506348
292,1099,494,1.359265441
296,1570,483,11.54249911
298,1746,1572,0.681731437
300,1746,1573,15.05993968
310,1555,1748,11.85060507
391,1278,1549,6.604442284
398,1557,1559,7.529969838
402,1103,1102,9.999002903
551,1604,1606,8.394064737
562,1750,176,5.987261373
577,426,478,9.937091344
3419,2784,341,9.134717508
3420,1278,2795,4.506060417
3422,2796,1282,4.567358754
3423,341,2799,9.258365371
3430,344,2806,8.949554316
3431,530,2804,5.740058975
3435,2808,2807,10.12244271
3436,2801,330,8.085459416
3438,2800,273,8.023975737
3596,640,2894,8.455785802
3597,2894,434,6.851038131
3598,141,2898,5.308011525
3599,141,2897,6.481005649
3600,2896,141,7.900296223
3611,148,2903,8.394064737
3612,2903,173,7.900537318
